Number,Name,Classification,Height,Weight,Typings,Abilities,Base Stat Total,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
#436,Bronzor,Bronze Pokémon,"['1\'08""', '0.5m']","['133.4lbs', '60.5kg']","['Steel', 'Psychic']","['Levitate', 'Heatproof', 'Heavy Metal']",300,57,24,86,24,86,23
#437,Bronzong,Bronze Bell Pokémon,"['4\'03""', '1.3m']","['412.3lbs', '187.0kg']","['Steel', 'Psychic']","['Levitate', 'Heatproof', 'Heavy Metal']",500,67,89,116,79,116,33
#438,Bonsly,Bonsai Pokémon,"['1\'08""', '0.5m']","['33.1lbs', '15.0kg']",['Rock'],"['Sturdy', 'Rock Head', 'Rattled']",290,50,80,95,10,45,10
#439,Mime Jr.,Mime Pokémon,"['2\'00""', '0.6m']","['28.7lbs', '13.0kg']","['Psychic', 'Fairy']","['Soundproof', 'Filter', 'Technician']",310,20,25,45,70,90,60
#440,Happiny,Playhouse Pokémon,"['2\'00""', '0.6m']","['53.8lbs', '24.4kg']",['Normal'],"['Natural Cure', 'Serene Grace', 'Friend Guard']",220,100,5,5,15,65,30
#441,Chatot,Music Note Pokémon,"['1\'08""', '0.5m']","['4.2lbs', '1.9kg']","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",411,76,65,45,92,42,91
#442,Spiritomb,Forbidden Pokémon,"['3\'03""', '1.0m']","['238.1lbs', '108.0kg']","['Ghost', 'Dark']","['Pressure', 'Infiltrator']",485,50,92,108,92,108,35
#443,Gible,Land Shark Pokémon,"['2\'04""', '0.7m']","['45.2lbs', '20.5kg']","['Dragon', 'Ground']","['Sand Veil', 'Rough Skin']",300,58,70,45,40,45,42
#444,Gabite,Cave Pokémon,"['4\'07""', '1.4m']","['123.5lbs', '56.0kg']","['Dragon', 'Ground']","['Sand Veil', 'Rough Skin']",410,68,90,65,50,55,82
#445,Garchomp,Mach Pokémon,"['6\'03""', '1.9m']","['209.4lbs', '95.0kg']","['Dragon', 'Ground']","['Sand Veil', 'Rough Skin']",600,108,130,95,80,85,102
#446,Munchlax,Big Eater Pokémon,"['2\'00""', '0.6m']","['231.5lbs', '105.0kg']",['Normal'],"['Pickup', 'Thick Fat', 'Gluttony']",390,135,85,40,40,85,5
#447,Riolu,Emanation Pokémon,"['2\'04""', '0.7m']","['44.5lbs', '20.2kg']",['Fighting'],"['Steadfast', 'Inner Focus', 'Prankster']",285,40,70,40,35,40,60
#448,Lucario,Aura Pokémon,"['3\'11""', '1.2m']","['119.0lbs', '54.0kg']","['Fighting', 'Steel']","['Steadfast', 'Inner Focus', 'Justified']",525,70,110,70,115,70,90
#449,Hippopotas,Hippo Pokémon,"['2\'07""', '0.8m']","['109.1lbs', '49.5kg']",['Ground'],"['Sand Stream', 'Sand Force']",330,68,72,78,38,42,32
#450,Hippowdon,Heavyweight Pokémon,"['6\'07""', '2.0m']","['661.4lbs', '300.0kg']",['Ground'],"['Sand Stream', 'Sand Force']",525,108,112,118,68,72,47
#451,Skorupi,Scorpion Pokémon,"['2\'07""', '0.8m']","['26.5lbs', '12.0kg']","['Poison', 'Bug']","['Battle Armor', 'Sniper', 'Keen Eye']",330,40,50,90,30,55,65
#452,Drapion,Ogre Scorp Pokémon,"['4\'03""', '1.3m']","['135.6lbs', '61.5kg']","['Poison', 'Dark']","['Battle Armor', 'Sniper', 'Keen Eye']",500,70,90,110,60,75,95
#453,Croagunk,Toxic Mouth Pokémon,"['2\'04""', '0.7m']","['50.7lbs', '23.0kg']","['Poison', 'Fighting']","['Anticipation', 'Dry Skin', 'Poison Touch']",300,48,61,40,61,40,50
#454,Toxicroak,Toxic Mouth Pokémon,"['4\'03""', '1.3m']","['97.9lbs', '44.4kg']","['Poison', 'Fighting']","['Anticipation', 'Dry Skin', 'Poison Touch']",490,83,106,65,86,65,85
#455,Carnivine,Bug Catcher Pokémon,"['4\'07""', '1.4m']","['59.5lbs', '27kg']",['Grass'],['Levitate'],454,74,100,72,90,72,46
#456,Finneon,Wing Fish Pokémon,"['1\'04""', '0.4m']","['15.4lbs', '7kg']",['Water'],"['Swift Swim', 'Storm Drain', 'Water Veil']",330,49,49,56,49,61,66
#457,Lumineon,Neon Pokémon,"['3\'11""', '1.2m']","['52.9lbs', '24kg']",['Water'],"['Swift Swim', 'Storm Drain', 'Water Veil']",460,69,69,76,69,86,91
#458,Mantyke,Kite Pokémon,"['3\'03""', '1.0m']","['143.3lbs', '65.0kg']","['Water', 'Flying']","['Swift Swim', 'Water Absorb', 'Water Veil']",345,45,20,50,60,120,50
#459,Snover,Frosted Tree Pokémon,"['3\'03""', '1.0m']","['111.3lbs', '50.5kg']","['Grass', 'Ice']","['Snow Warning', 'Soundproof']",334,60,62,50,62,60,40
#460,Abomasnow,Frosted Tree Pokémon,"['7\'03""', '2.2m']","['298.7lbs', '135.5kg']","['Grass', 'Ice']","['Snow Warning', 'Soundproof']",494,90,92,75,92,85,60
#461,Weavile,Sharp Claw Pokémon,"['3\'07""', '1.1m']","['75.0lbs', '34.0kg']","['Dark', 'Ice']","['Pressure', 'Pickpocket']",510,70,120,65,45,85,125
#462,Magnezone,Magnet Area Pokémon,"['3\'11""', '1.2m']","['396.8lbs', '180.0kg']","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']",535,70,70,115,130,90,60
#463,Lickilicky,Licking Pokémon,"['5\'07""', '1.7m']","['308.6lbs', '140.0kg']",['Normal'],"['Own Tempo', 'Oblivious', 'Cloud Nine']",515,110,85,95,80,95,50
#464,Rhyperior,Drill Pokémon,"['7\'10""', '2.4m']","['623.5lbs', '282.8kg']","['Ground', 'Rock']","['Lightning Rod', 'Solid Rock', 'Reckless']",535,115,140,130,55,55,40
#465,Tangrowth,Vine Pokémon,"['6\'07""', '2.0m']","['283.5lbs', '128.6kg']",['Grass'],"['Chlorophyll', 'Leaf Guard', 'Regenerator']",535,100,100,125,110,50,50
#466,Electivire,Thunderbolt Pokémon,"['5\'11""', '1.8m']","['305.6lbs', '138.6kg']",['Electric'],"['Motor Drive', 'Vital Spirit']",540,75,123,67,95,85,95
#467,Magmortar,Blast Pokémon,"['5\'03""', '1.6m']","['149.9lbs', '68.0kg']",['Fire'],"['Flame Body', 'Vital Spirit']",540,75,95,67,125,95,83
#468,Togekiss,Jubilee Pokémon,"['4\'11""', '1.5m']","['83.8lbs', '38.0kg']","['Fairy', 'Flying']","['Hustle', 'Serene Grace', 'Super Luck']",545,85,50,95,120,115,80
#469,Yanmega,Ogre Darner Pokémon,"['6\'03""', '1.9m']","['113.5lbs', '51.5kg']","['Bug', 'Flying']","['Speed Boost', 'Tinted Lens', 'Frisk']",515,86,76,86,116,56,95
#470,Leafeon,Verdant Pokémon,"['3\'03""', '1.0m']","['56.2lbs', '25.5kg']",['Grass'],"['Leaf Guard', 'Chlorophyll']",525,65,110,130,60,65,95
#471,Glaceon,Fresh Snow Pokémon,"['2\'07""', '0.8m']","['57.1lbs', '25.9kg']",['Ice'],"['Snow Cloak', 'Ice Body']",525,65,60,110,130,95,65
#472,Gliscor,Fang Scorp Pokémon,"['6\'07""', '2m']","['93.7lbs', '42.5kg']","['Ground', 'Flying']","['Hyper Cutter', 'Sand Veil', 'Poison Heal']",510,75,95,125,45,75,95
#473,Mamoswine,Twin Tusk Pokémon,"['8\'02""', '2.5m']","['641.5lbs', '291.0kg']","['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",530,110,130,80,70,60,80
#474,Porygon-Z,Virtual Pokémon,"['2\'11""', '0.9m']","['75.0lbs', '34.0kg']",['Normal'],"['Adaptability', 'Download', 'Analytic']",535,85,80,70,135,75,90
#475,Gallade,Blade Pokémon,"['5\'03""', '1.6m']","['114.6lbs', '52.0kg']","['Psychic', 'Fighting']","['Steadfast', 'Justified']",518,68,125,65,65,115,80
#476,Probopass,Compass Pokémon,"['4\'07""', '1.4m']","['749.6lbs', '340kg']","['Rock', 'Steel']","['Sturdy', 'Magnet Pull', 'Sand Force']",525,60,55,145,75,150,40
#477,Dusknoir,Gripper Pokémon,"['7\'03""', '2.2m']","['235.0lbs', '106.6kg']",['Ghost'],"['Pressure', 'Frisk']",525,45,100,135,65,135,45
#478,Froslass,Snow Land Pokémon,"['4\'03""', '1.3m']","['58.6lbs', '26.6kg']","['Ice', 'Ghost']","['Snow Cloak', 'Cursed Body']",480,70,80,70,80,70,110
#479,Rotom,Plasma Pokémon,"['1\'00""', '0.3m']","['0.7lbs', '0.3kg']","['Electric', 'Ghost']",['Levitate'],440,50,50,77,95,77,91
#480,Uxie,Knowledge Pokémon,"['1\'00""', '0.3m']","['0.7lbs', '0.3kg']",['Psychic'],['Levitate'],580,75,75,130,75,130,95
#481,Mesprit,Emotion Pokémon,"['1\'00""', '0.3m']","['0.7lbs', '0.3kg']",['Psychic'],['Levitate'],580,80,105,105,105,105,80
#482,Azelf,Willpower Pokémon,"['1\'00""', '0.3m']","['0.7lbs', '0.3kg']",['Psychic'],['Levitate'],580,75,125,70,125,70,115
#483,Dialga,Temporal Pokémon,"['17\'09""', '5.4m']","['1505.7lbs', '683.0kg']","['Steel', 'Dragon']","['Pressure', 'Telepathy']",680,100,120,120,150,100,90
#484,Palkia,Spatial Pokémon,"['13\'09""', '4.2m']","['740.7lbs', '336.0kg']","['Water', 'Dragon']","['Pressure', 'Telepathy']",680,90,120,100,150,120,100
#485,Heatran,Lava Dome Pokémon,"['5\'07""', '1.7m']","['948.0lbs', '430.0kg']","['Fire', 'Steel']","['Flash Fire', 'Flame Body']",600,91,90,106,130,106,77
#486,Regigigas,Colossal Pokémon,"['12\'02""', '3.7m']","['925.9lbs', '420.0kg']",['Normal'],['Slow Start'],670,110,160,110,80,110,100
#487,Giratina,Renegade Pokémon,"['14\'09""', '4.5m']","['1653.4lbs', '750.0kg']","['Ghost', 'Dragon']","['Pressure', 'Telepathy']",680,150,100,120,100,120,90
#488,Cresselia,Lunar Pokémon,"['4\'11""', '1.5m']","['188.7lbs', '85.6kg']",['Psychic'],['Levitate'],600,120,70,120,75,130,85
#489,Phione,Sea Drifter Pokémon,"['1\'04""', '0.4m']","['6.8lbs', '3.1kg']",['Water'],['Hydration'],480,80,80,80,80,80,80
#490,Manaphy,Seafaring Pokémon,"['1\'00""', '0.3m']","['3.1lbs', '1.4kg']",['Water'],['Hydration'],600,100,100,100,100,100,100
#491,Darkrai,Pitch-Black Pokémon,"['4\'11""', '1.5m']","['111.3lbs', '50.5kg']",['Dark'],['Bad Dreams'],600,70,90,90,135,90,125
#492,Shaymin,Gratitude Pokémon,"['0\'08""', '0.2m']","['4.6lbs', '2.1kg']",['Grass'],['Natural Cure'],600,100,100,100,100,100,100
#493,Arceus,Alpha Pokémon,"['10\'06""', '3.2m']","['705.5lbs', '320kg']",['Normal'],['Multitype'],720,120,120,120,120,120,120
#494,Victini,Victory Pokémon,"['1\'04""', '0.4m']","['8.8lbs', '4.0kg']","['Psychic', 'Fire']",['Victory Star'],600,100,100,100,100,100,100
#495,Snivy,Grass Snake Pokémon,"['2\'00""', '0.6m']","['17.9lbs', '8.1kg']",['Grass'],"['Overgrow', 'Contrary']",308,45,45,55,45,55,63
#496,Servine,Grass Snake Pokémon,"['2\'07""', '0.8m']","['35.3lbs', '16kg']",['Grass'],"['Overgrow', 'Contrary']",413,60,60,75,60,75,83
#497,Serperior,Regal Pokémon,"['10\'10""', '3.3m']","['138.9lbs', '63kg']",['Grass'],"['Overgrow', 'Contrary']",528,75,75,95,75,95,113
#498,Tepig,Fire Pig Pokémon,"['1\'08""', '0.5m']","['21.8lbs', '9.9kg']",['Fire'],"['Blaze', 'Thick Fat']",308,65,63,45,45,45,45
#499,Pignite,Fire Pig Pokémon,"['3\'03""', '1m']","['122.4lbs', '55.5kg']","['Fire', 'Fighting']","['Blaze', 'Thick Fat']",418,90,93,55,70,55,55
#500,Emboar,Mega Fire Pig Pokémon,"['5\'03""', '1.6m']","['330.7lbs', '150kg']","['Fire', 'Fighting']","['Blaze', 'Reckless']",528,110,123,65,100,65,65
#501,Oshawott,Sea Otter Pokémon,"['1\'08""', '0.5m']","['13.0lbs', '5.9kg']",['Water'],"['Torrent', 'Shell Armor']",308,55,55,45,63,45,45
#502,Dewott,Discipline Pokémon,"['2\'07""', '0.8m']","['54.0lbs', '24.5kg']",['Water'],"['Torrent', 'Shell Armor']",413,75,75,60,83,60,60
#503,Samurott,Formidable Pokémon,"['4\'11""', '1.5m']","['208.6lbs', '94.6kg']",['Water'],"['Torrent', 'Shell Armor']",528,95,100,85,108,70,70
#504,Patrat,Scout Pokémon,"['1\'08""', '0.5m']","['25.6lbs', '11.6kg']",['Normal'],"['Run Away', 'Keen Eye', 'Analytic']",255,45,55,39,35,39,42
#505,Watchog,Lookout Pokémon,"['3\'07""', '1.1m']","['59.5lbs', '27kg']",['Normal'],"['Illuminate', 'Keen Eye', 'Analytic']",420,60,85,69,60,69,77
#506,Lillipup,Puppy Pokémon,"['1\'04""', '0.4m']","['9.0lbs', '4.1kg']",['Normal'],"['Vital Spirit', 'Pickup', 'Run Away']",275,45,60,45,25,45,55
#507,Herdier,Loyal Dog Pokémon,"['2\'11""', '0.9m']","['32.4lbs', '14.7kg']",['Normal'],"['Intimidate', 'Sand Rush', 'Scrappy']",370,65,80,65,35,65,60
#508,Stoutland,Big-Hearted Pokémon,"['3\'11""', '1.2m']","['134.5lbs', '61.0kg']",['Normal'],"['Intimidate', 'Sand Rush', 'Scrappy']",500,85,110,90,45,90,80
#509,Purrloin,Devious Pokémon,"['1\'04""', '0.4m']","['22.3lbs', '10.1kg']",['Dark'],"['Limber', 'Unburden', 'Prankster']",281,41,50,37,50,37,66
#510,Liepard,Cruel Pokémon,"['3\'07""', '1.1m']","['82.7lbs', '37.5kg']",['Dark'],"['Limber', 'Unburden', 'Prankster']",446,64,88,50,88,50,106
#511,Pansage,Grass Monkey Pokémon,"['2\'00""', '0.6m']","['23.1lbs', '10.5kg']",['Grass'],"['Gluttony', 'Overgrow']",316,50,53,48,53,48,64
#512,Simisage,Thorn Monkey Pokémon,"['3\'07""', '1.1m']","['67.2lbs', '30.5kg']",['Grass'],"['Gluttony', 'Overgrow']",498,75,98,63,98,63,101
#513,Pansear,High Temp Pokémon,"['2\'00""', '0.6m']","['24.3lbs', '11kg']",['Fire'],"['Gluttony', 'Blaze']",316,50,53,48,53,48,64
#514,Simisear,Ember Pokémon,"['3\'03""', '1m']","['61.7lbs', '28kg']",['Fire'],"['Gluttony', 'Blaze']",498,75,98,63,98,63,101
#515,Panpour,Spray Pokémon,"['2\'00""', '0.6m']","['29.8lbs', '13.5kg']",['Water'],"['Gluttony', 'Torrent']",316,50,53,48,53,48,64
#516,Simipour,Geyser Pokémon,"['3\'03""', '1m']","['63.9lbs', '29kg']",['Water'],"['Gluttony', 'Torrent']",498,75,98,63,98,63,101
#517,Munna,Dream Eater Pokémon,"['2\'00""', '0.6m']","['51.4lbs', '23.3kg']",['Psychic'],"['Forewarn', 'Synchronize', 'Telepathy']",292,76,25,45,67,55,24
#518,Musharna,Drowsing Pokémon,"['3\'07""', '1.1m']","['133.4lbs', '60.5kg']",['Psychic'],"['Forewarn', 'Synchronize', 'Telepathy']",487,116,55,85,107,95,29
#519,Pidove,Tiny Pigeon Pokémon,"['1\'00""', '0.3m']","['4.6lbs', '2.1kg']","['Normal', 'Flying']","['Big Pecks', 'Super Luck', 'Rivalry']",264,50,55,50,36,30,43
#520,Tranquill,Wild Pigeon Pokémon,"['2\'00""', '0.6m']","['33.1lbs', '15.0kg']","['Normal', 'Flying']","['Big Pecks', 'Super Luck', 'Rivalry']",358,62,77,62,50,42,65
#521,Unfezant,Proud Pokémon,"['3\'11""', '1.2m']","['63.9lbs', '29.0kg']","['Normal', 'Flying']","['Big Pecks', 'Super Luck', 'Rivalry']",488,80,115,80,65,55,93
#522,Blitzle,Electrified Pokémon,"['2\'07""', '0.8m']","['65.7lbs', '29.8kg']",['Electric'],"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",295,45,60,32,50,32,76
#523,Zebstrika,Thunderbolt Pokémon,"['5\'03""', '1.6m']","['175.3lbs', '79.5kg']",['Electric'],"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",497,75,100,63,80,63,116
#524,Roggenrola,Mantle Pokémon,"['1\'04""', '0.4m']","['39.7lbs', '18.0kg']",['Rock'],"['Sturdy', 'Weak Armor', 'Sand Force']",280,55,75,85,25,25,15
#525,Boldore,Ore Pokémon,"['2\'11""', '0.9m']","['224.9lbs', '102.0kg']",['Rock'],"['Sturdy', 'Weak Armor', 'Sand Force']",390,70,105,105,50,40,20
#526,Gigalith,Compressed Pokémon,"['5\'07""', '1.7m']","['573.2lbs', '260.0kg']",['Rock'],"['Sturdy', 'Sand Stream', 'Sand Force']",515,85,135,130,60,80,25
#527,Woobat,Bat Pokémon,"['1\'04""', '0.4m']","['4.6lbs', '2.1kg']","['Psychic', 'Flying']","['Unaware', 'Klutz', 'Simple']",323,65,45,43,55,43,72
#528,Swoobat,Courting Pokémon,"['2\'11""', '0.9m']","['23.1lbs', '10.5kg']","['Psychic', 'Flying']","['Unaware', 'Klutz', 'Simple']",425,67,57,55,77,55,114
#529,Drilbur,Mole Pokémon,"['1\'00""', '0.3m']","['18.7lbs', '8.5kg']",['Ground'],"['Sand Rush', 'Sand Force', 'Mold Breaker']",328,60,85,40,30,45,68
#530,Excadrill,Subterrene Pokémon,"['2\'04""', '0.7m']","['89.1lbs', '40.4kg']","['Ground', 'Steel']","['Sand Rush', 'Sand Force', 'Mold Breaker']",508,110,135,60,50,65,88
#531,Audino,Hearing Pokémon,"['3\'07""', '1.1m']","['68.3lbs', '31.0kg']",['Normal'],"['Healer', 'Regenerator', 'Klutz']",445,103,60,86,60,86,50
#532,Timburr,Muscular Pokémon,"['2\'00""', '0.6m']","['27.6lbs', '12.5kg']",['Fighting'],"['Guts', 'Sheer Force', 'Iron Fist']",305,75,80,55,25,35,35
#533,Gurdurr,Muscular Pokémon,"['3\'11""', '1.2m']","['88.2lbs', '40.0kg']",['Fighting'],"['Guts', 'Sheer Force', 'Iron Fist']",405,85,105,85,40,50,40
#534,Conkeldurr,Muscular Pokémon,"['4\'07""', '1.4m']","['191.8lbs', '87.0kg']",['Fighting'],"['Guts', 'Sheer Force', 'Iron Fist']",505,105,140,95,55,65,45
#535,Tympole,Tadpole Pokémon,"['1\'08""', '0.5m']","['9.9lbs', '4.5kg']",['Water'],"['Swift Swim', 'Hydration', 'Water Absorb']",294,50,50,40,50,40,64
#536,Palpitoad,Vibration Pokémon,"['2\'07""', '0.8m']","['37.5lbs', '17.0kg']","['Water', 'Ground']","['Swift Swim', 'Hydration', 'Water Absorb']",384,75,65,55,65,55,69
#537,Seismitoad,Vibration Pokémon,"['4\'11""', '1.5m']","['136.7lbs', '62.0kg']","['Water', 'Ground']","['Swift Swim', 'Poison Touch', 'Water Absorb']",509,105,95,75,85,75,74
#538,Throh,Judo Pokémon,"['4\'03""', '1.3m']","['122.4lbs', '55.5kg']",['Fighting'],"['Guts', 'Inner Focus', 'Mold Breaker']",465,120,100,85,30,85,45
#539,Sawk,Karate Pokémon,"['4\'07""', '1.4m']","['112.4lbs', '51.0kg']",['Fighting'],"['Sturdy', 'Inner Focus', 'Mold Breaker']",465,75,125,75,30,75,85
#540,Sewaddle,Sewing Pokémon,"['1\'00""', '0.3m']","['5.5lbs', '2.5kg']","['Bug', 'Grass']","['Swarm', 'Chlorophyll', 'Overcoat']",310,45,53,70,40,60,42
#541,Swadloon,Leaf-Wrapped Pokémon,"['1\'08""', '0.5m']","['16.1lbs', '7.3kg']","['Bug', 'Grass']","['Leaf Guard', 'Chlorophyll', 'Overcoat']",380,55,63,90,50,80,42
#542,Leavanny,Nurturing Pokémon,"['3\'11""', '1.2m']","['45.2lbs', '20.5kg']","['Bug', 'Grass']","['Swarm', 'Chlorophyll', 'Overcoat']",500,75,103,80,70,80,92
#543,Venipede,Centipede Pokémon,"['1\'04""', '0.4m']","['11.7lbs', '5.3kg']","['Bug', 'Poison']","['Poison Point', 'Swarm', 'Speed Boost']",260,30,45,59,30,39,57
#544,Whirlipede,Curlipede Pokémon,"['3\'11""', '1.2m']","['129.0lbs', '58.5kg']","['Bug', 'Poison']","['Poison Point', 'Swarm', 'Speed Boost']",360,40,55,99,40,79,47
#545,Scolipede,Megapede Pokémon,"['8\'02""', '2.5m']","['442.0lbs', '200.5kg']","['Bug', 'Poison']","['Poison Point', 'Swarm', 'Speed Boost']",485,60,100,89,55,69,112
#546,Cottonee,Cotton Puff Pokémon,"['1\'00""', '0.3m']","['1.3lbs', '0.6kg']","['Grass', 'Fairy']","['Prankster', 'Infiltrator', 'Chlorophyll']",280,40,27,60,37,50,66
#547,Whimsicott,Windveiled Pokémon,"['2\'04""', '0.7m']","['14.6lbs', '6.6kg']","['Grass', 'Fairy']","['Prankster', 'Infiltrator', 'Chlorophyll']",480,60,67,85,77,75,116
#548,Petilil,Bulb Pokémon,"['1\'08""', '0.5m']","['14.6lbs', '6.6kg']",['Grass'],"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",280,45,35,50,70,50,30
#549,Lilligant,Flowering Pokémon,"['3\'07""', '1.1m']","['35.9lbs', '16.3kg']",['Grass'],"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",480,70,60,75,110,75,90
#550,Basculin,Hostile Pokémon,"['3\'03""', '1.0m']","['39.7lbs', '18.0kg']",['Water'],"['Reckless', 'Adaptability', 'Mold Breaker']",460,70,92,65,80,55,98
#551,Sandile,Desert Croc Pokémon,"['2\'04""', '0.7m']","['33.5lbs', '15.2kg']","['Ground', 'Dark']","['Intimidate', 'Moxie', 'Anger Point']",292,50,72,35,35,35,65
#552,Krokorok,Desert Croc Pokémon,"['3\'03""', '1.0m']","['73.6lbs', '33.4kg']","['Ground', 'Dark']","['Intimidate', 'Moxie', 'Anger Point']",351,60,82,45,45,45,74
#553,Krookodile,Intimidation Pokémon,"['4\'11""', '1.5m']","['212.3lbs', '96.3kg']","['Ground', 'Dark']","['Intimidate', 'Moxie', 'Anger Point']",519,95,117,80,65,70,92
#554,Darumaka,Zen Charm Pokémon,"['2\'00"" / 2\'04""', '0.6m / 0.7m']","['82.7lbs / 88.2lbs', '37.5kg / 40.0kg']",['Fire'],"['Hustle', 'Inner Focus']",315,70,90,45,15,45,50
#555,Darmanitan,Blazing Pokémon (Unovan)Zen Charm Pokémon (Galarian),"['4\'03"" / 5\'07""', '1.3m / 1.7m']","['204.8lbs / 264.6lbs', '92.9kg / 120.0kg']",['Fire'],"['Sheer Force', 'Zen Mode']",480,105,140,55,30,55,95
#556,Maractus,Cactus Pokémon,"['3\'03""', '1.0m']","['61.7lbs', '28.0kg']",['Grass'],"['Water Absorb', 'Chlorophyll', 'Storm Drain']",461,75,86,67,106,67,60
#557,Dwebble,Rock Inn Pokémon,"['1\'00""', '0.3m']","['32.0lbs', '14.5kg']","['Bug', 'Rock']","['Sturdy', 'Shell Armor', 'Weak Armor']",325,50,65,85,35,35,55
#558,Crustle,Stone Home Pokémon,"['4\'07""', '1.4m']","['440.9lbs', '200.0kg']","['Bug', 'Rock']","['Sturdy', 'Shell Armor', 'Weak Armor']",485,70,105,125,65,75,45
#559,Scraggy,Shedding Pokémon,"['2\'00""', '0.6m']","['26.0lbs', '11.8kg']","['Dark', 'Fighting']","['Shed Skin', 'Moxie', 'Intimidate']",348,50,75,70,35,70,48
#560,Scrafty,Hoodlum Pokémon,"['3\'07""', '1.1m']","['66.1lbs', '30.0kg']","['Dark', 'Fighting']","['Shed Skin', 'Moxie', 'Intimidate']",488,65,90,115,45,115,58
#561,Sigilyph,Avianoid Pokémon,"['4\'07""', '1.4m']","['30.9lbs', '14.0kg']","['Psychic', 'Flying']","['Wonder Skin', 'Magic Guard', 'Tinted Lens']",490,72,58,80,103,80,97
#562,Yamask,Spirit Pokémon,"['1\'08"" / 1\'08""', '0.5m / 0.5m']","['3.3lbs / 3.3lbs', '1.5kg / 1.5kg']",['Ghost'],['Mummy'],303,38,30,85,55,65,30
#563,Cofagrigus,Coffin Pokémon,"['5\'07""', '1.7m']","['168.7lbs', '76.5kg']",['Ghost'],['Mummy'],483,58,50,145,95,105,30
#564,Tirtouga,Prototurtle Pokémon,"['2\'04""', '0.7m']","['36.4lbs', '16.5kg']","['Water', 'Rock']","['Solid Rock', 'Sturdy', 'Swift Swim']",355,54,78,103,53,45,22
#565,Carracosta,Prototurtle Pokémon,"['3\'11""', '1.2m']","['178.6lbs', '81.0kg']","['Water', 'Rock']","['Solid Rock', 'Sturdy', 'Swift Swim']",495,74,108,133,83,65,32
#566,Archen,First Bird Pokémon,"['1\'08""', '0.5m']","['20.9lbs', '9.5kg']","['Rock', 'Flying']",['Defeatist'],401,55,112,45,74,45,70
#567,Archeops,First Bird Pokémon,"['4\'07""', '1.4m']","['70.5lbs', '32.0kg']","['Rock', 'Flying']",['Defeatist'],567,75,140,65,112,65,110
#568,Trubbish,Trash Bag Pokémon,"['2\'00""', '0.6m']","['68.3lbs', '31.0kg']",['Poison'],"['Stench', 'Sticky Hold', 'Aftermath']",329,50,50,62,40,62,65
#569,Garbodor,Trash Heap Pokémon,"['6\'03""', '1.9m']","['236.6lbs', '107.3kg']",['Poison'],"['Stench', 'Weak Armor', 'Aftermath']",474,80,95,82,60,82,75
#570,Zorua,Tricky Fox Pokémon (Unovan)Spiteful Fox Pokémon (Hisuian),"['2\'04""', '0.7m']","['27.6lbs', '12.5kg']",['Dark'],['Illusion'],330,40,65,40,80,40,65
#571,Zoroark,Illusion Fox Pokémon (Unovan)Baneful Fox Pokémon (Hisuian),"['5\'03""', '1.6m']","['178.8lbs', '81.1kg']",['Dark'],['Illusion'],510,60,105,60,120,60,105
#572,Minccino,Chinchilla Pokémon,"['1\'04""', '0.4m']","['12.8lbs', '5.8kg']",['Normal'],"['Cute Charm', 'Technician', 'Skill Link']",300,55,50,40,40,40,75
#573,Cinccino,Scarf Pokémon,"['1\'08""', '0.5m']","['16.5lbs', '7.5kg']",['Normal'],"['Cute Charm', 'Technician', 'Skill Link']",470,75,95,60,65,60,115
#574,Gothita,Fixation Pokémon,"['1\'04""', '0.4m']","['12.8lbs', '5.8kg']",['Psychic'],"['Frisk', 'Competitive', 'Shadow Tag']",290,45,30,50,55,65,45
#575,Gothorita,Manipulate Pokémon,"['2\'04""', '0.7m']","['39.7lbs', '18.0kg']",['Psychic'],"['Frisk', 'Competitive', 'Shadow Tag']",390,60,45,70,75,85,55
#576,Gothitelle,Astral Body Pokémon,"['4\'11""', '1.5m']","['97.0lbs', '44.0kg']",['Psychic'],"['Frisk', 'Competitive', 'Shadow Tag']",490,70,55,95,95,110,65
#577,Solosis,Cell Pokémon,"['1\'00""', '0.3m']","['2.2lbs', '1.0kg']",['Psychic'],"['Overcoat', 'Magic Guard', 'Regenerator']",290,45,30,40,105,50,20
#578,Duosion,Mitosis Pokémon,"['2\'00""', '0.6m']","['17.6lbs', '8.0kg']",['Psychic'],"['Overcoat', 'Magic Guard', 'Regenerator']",370,65,40,50,125,60,30
#579,Reuniclus,Multiplying Pokémon,"['3\'03""', '1.0m']","['44.3lbs', '20.1kg']",['Psychic'],"['Overcoat', 'Magic Guard', 'Regenerator']",490,110,65,75,125,85,30
#580,Ducklett,Water Bird Pokémon,"['1\'08""', '0.5m']","['12.1lbs', '5.5kg']","['Water', 'Flying']","['Keen Eye', 'Big Pecks', 'Hydration']",305,62,44,50,44,50,55
#581,Swanna,White Bird Pokémon,"['4\'03""', '1.3m']","['53.4lbs', '24.2kg']","['Water', 'Flying']","['Keen Eye', 'Big Pecks', 'Hydration']",473,75,87,63,87,63,98
